[2025-03-31 22:19:20] local.INFO: Acertou o login  
[2025-03-31 22:19:29] local.INFO: Vai buscar o hotel e as configurações  
[2025-03-31 22:19:29] local.INFO: O hotel foi encontrado  
[2025-03-31 22:19:29] local.INFO: Vai conferir as configurações ( se houver ) de CEP  
[2025-03-31 22:19:29] local.INFO: Opção desativada, não vai alterar o endereço  
[2025-03-31 22:19:35] local.INFO: Memória usada CashRegisterRepository::class, getAll: 20971520  
[2025-03-31 22:20:12] local.INFO: Memória usada CashRegisterRepository::class, getAll: 20971520  
[2025-03-31 22:42:18] local.INFO: Memória usada CashRegisterRepository::class, getAll: 20971520  
[2025-03-31 22:42:19] local.INFO: Memória usada CashRegisterRepository::class, getAll: 20971520  
[2025-03-31 22:42:22] local.INFO: Memória usada CashRegisterRepository::class, getAll: 20971520  
[2025-03-31 22:42:25] local.INFO: Memória usada CashRegisterRepository::class, getAll: 20971520  
[2025-03-31 22:42:31] local.INFO: Memória usada CashRegisterRepository::class, getAll: 20971520  
[2025-03-31 22:44:23] local.INFO: Memória usada CashRegisterRepository::class, getAll: 20971520  
[2025-03-31 23:22:42] local.INFO: Memória usada CashRegisterRepository::class, getAll: 20971520  
[2025-03-31 23:22:49] local.INFO: Memória usada CashRegisterRepository::class, getAll: 20971520  
[2025-03-31 23:23:01] local.INFO: Memória usada CashRegisterRepository::class, getAll: 20971520  
[2025-03-31 23:23:36] local.INFO: Memória usada CashRegisterRepository::class, getAll: 20971520  
[2025-03-31 23:24:13] local.INFO: Memória usada CashRegisterRepository::class, getAll: 20971520  
[2025-03-31 23:24:20] local.INFO: Memória usada CashRegisterRepository::class, getAll: 20971520  
[2025-03-31 23:24:28] local.INFO: Memória usada CashRegisterRepository::class, getAll: 20971520  
[2025-03-31 23:24:29] local.INFO: Memória usada CashRegisterRepository::class, getAll: 20971520  
[2025-03-31 23:24:39] local.INFO: Memória usada CashRegisterRepository::class, getAll: 20971520  
[2025-03-31 23:25:44] local.INFO: Memória usada CashRegisterRepository::class, getAll: 20971520  
[2025-03-31 23:25:46] local.INFO: Memória usada CashRegisterRepository::class, getAll: 20971520  
[2025-03-31 23:26:11] local.INFO: Memória usada CashRegisterRepository::class, getAll: 20971520  
[2025-03-31 23:26:33] local.INFO: Memória usada CashRegisterRepository::class, getAll: 20971520  
[2025-03-31 23:26:36] local.INFO: Memória usada CashRegisterRepository::class, getAll: 20971520  
[2025-03-31 23:26:39] local.INFO: Memória usada CashRegisterRepository::class, getAll: 20971520  
[2025-03-31 23:26:43] local.INFO: Memória usada CashRegisterRepository::class, getAll: 20971520  
[2025-03-31 23:27:21] local.INFO: Memória usada CashRegisterRepository::class, getAll: 20971520  
[2025-03-31 23:27:23] local.INFO: Memória usada CashRegisterRepository::class, getAll: 20971520  
[2025-03-31 23:27:41] local.INFO: Memória usada CashRegisterRepository::class, getAll: 20971520  
[2025-03-31 23:27:43] local.INFO: Memória usada CashRegisterRepository::class, getAll: 20971520  
[2025-03-31 23:27:47] local.INFO: Memória usada CashRegisterRepository::class, getAll: 20971520  
[2025-03-31 23:27:56] local.INFO: Memória usada CashRegisterRepository::class, getAll: 20971520  
[2025-03-31 23:28:00] local.INFO: Memória usada CashRegisterRepository::class, getAll: 20971520  
[2025-03-31 23:28:01] local.INFO: Memória usada CashRegisterRepository::class, getAll: 20971520  
[2025-03-31 23:52:42] local.INFO: Memória usada CashRegisterRepository::class, getAll: 20971520  
[2025-03-31 23:52:45] local.INFO: Memória usada CashRegisterRepository::class, getAll: 20971520  
[2025-03-31 23:52:48] local.INFO: Memória usada CashRegisterRepository::class, getAll: 20971520  
[2025-03-31 23:52:50] local.INFO: Memória usada CashRegisterRepository::class, getAll: 20971520  
[2025-03-31 23:52:52] local.INFO: Memória usada CashRegisterRepository::class, getAll: 20971520  
[2025-03-31 23:53:42] local.INFO: Memória usada CashRegisterRepository::class, getAll: 20971520  
[2025-03-31 23:55:26] local.INFO: Memória usada CashRegisterRepository::class, getAll: 20971520  
[2025-03-31 23:55:31] local.INFO: Memória usada CashRegisterRepository::class, getAll: 20971520  
[2025-03-31 23:59:08] local.INFO: Memória usada CashRegisterRepository::class, getAll: 20971520  
[2025-03-31 23:59:46] local.INFO: Memória usada CashRegisterRepository::class, getAll: 20971520  
[2025-04-01 00:01:00] local.INFO: Memória usada CashRegisterRepository::class, getAll: 20971520  
[2025-04-01 00:02:59] local.INFO: Memória usada CashRegisterRepository::class, getAll: 20971520  
[2025-04-01 00:11:26] local.INFO: Memória usada CashRegisterRepository::class, getAll: 20971520  
[2025-04-01 00:14:05] local.INFO: Memória usada CashRegisterRepository::class, getAll: 20971520  
[2025-04-01 00:14:40] local.INFO: Memória usada CashRegisterRepository::class, getAll: 20971520  
[2025-04-01 00:14:45] local.INFO: Memória usada CashRegisterRepository::class, getAll: 20971520  
[2025-04-01 00:14:48] local.INFO: Memória usada CashRegisterRepository::class, getAll: 20971520  
